Source,Type,Target,Weight
Вральман,"Undirected",Еремеевна,1
Вральман,"Undirected",Камердинер,1
Вральман,"Undirected",Кутейкин,3
Вральман,"Undirected",Митрофан,1
Вральман,"Undirected",Правдин,1
Вральман,"Undirected",Простакова,1
Вральман,"Undirected",Стародум,2
Вральман,"Undirected",Цыфиркин,3
Еремеевна,"Undirected",Кутейкин,3
Еремеевна,"Undirected",Милон,3
Еремеевна,"Undirected",Митрофан,5
Еремеевна,"Undirected",Правдин,6
Еремеевна,"Undirected",Простакова,7
Еремеевна,"Undirected",Скотинин,2
Еремеевна,"Undirected",Софья,2
Еремеевна,"Undirected",Стародум,6
Еремеевна,"Undirected",Цыфиркин,3
Камердинер,"Undirected",Софья,1
Камердинер,"Undirected",Стародум,2
Кутейкин,"Undirected",Милон,1
Кутейкин,"Undirected",Митрофан,4
Кутейкин,"Undirected",Правдин,2
Кутейкин,"Undirected",Простакова,4
Кутейкин,"Undirected",Стародум,1
Кутейкин,"Undirected",Цыфиркин,7
Милон,"Undirected",Митрофан,4
Милон,"Undirected",Правдин,11
Милон,"Undirected",Простаков,2
Милон,"Undirected",Простакова,4
Милон,"Undirected",Скотинин,5
Милон,"Undirected",Софья,5
Милон,"Undirected",Стародум,5
Милон,"Undirected",Цыфиркин,1
Митрофан,"Undirected",Правдин,7
Митрофан,"Undirected",Простаков,5
Митрофан,"Undirected",Простакова,12
Митрофан,"Undirected",Скотинин,4
Митрофан,"Undirected",Софья,2
Митрофан,"Undirected",Стародум,3
Митрофан,"Undirected",Тришка,1
Митрофан,"Undirected",Цыфиркин,4
Правдин,"Undirected",Простаков,6
Правдин,"Undirected",Простакова,10
Правдин,"Undirected",Скотинин,9
Правдин,"Undirected",Слуга,1
Правдин,"Undirected",Софья,9
Правдин,"Undirected",Стародум,13
Правдин,"Undirected",Цыфиркин,2
Простаков,"Undirected",Простакова,9
Простаков,"Undirected",Скотинин,7
Простаков,"Undirected",Слуга,1
Простаков,"Undirected",Софья,3
Простаков,"Undirected",Стародум,3
Простакова,"Undirected",Скотинин,9
Простакова,"Undirected",Софья,4
Простакова,"Undirected",Стародум,8
Простакова,"Undirected",Тришка,1
Простакова,"Undirected",Цыфиркин,4
Скотинин,"Undirected",Слуга,1
Скотинин,"Undirected",Софья,5
Скотинин,"Undirected",Стародум,6
Софья,"Undirected",Стародум,10
Стародум,"Undirected",Цыфиркин,1
