Source,Type,Target,Weight
1-я княжна Тугоуховская,"Undirected",2-я княжна Тугоуховская,2
1-я княжна Тугоуховская,"Undirected",3-я княжна Тугоуховская,2
1-я княжна Тугоуховская,"Undirected",4-я княжна Тугоуховская,2
1-я княжна Тугоуховская,"Undirected",5-я княжна Тугоуховская,2
1-я княжна Тугоуховская,"Undirected",6-я княжна Тугоуховская,2
1-я княжна Тугоуховская,"Undirected",Загорецкий,1
1-я княжна Тугоуховская,"Undirected",Княгиня Тугоуховская,2
1-я княжна Тугоуховская,"Undirected",Князь Тугоуховский,1
1-я княжна Тугоуховская,"Undirected",Наталья Дмитриевна,1
1-я княжна Тугоуховская,"Undirected",Репетилов,1
2-я княжна Тугоуховская,"Undirected",3-я княжна Тугоуховская,2
2-я княжна Тугоуховская,"Undirected",4-я княжна Тугоуховская,2
2-я княжна Тугоуховская,"Undirected",5-я княжна Тугоуховская,2
2-я княжна Тугоуховская,"Undirected",6-я княжна Тугоуховская,2
2-я княжна Тугоуховская,"Undirected",Загорецкий,1
2-я княжна Тугоуховская,"Undirected",Княгиня Тугоуховская,2
2-я княжна Тугоуховская,"Undirected",Князь Тугоуховский,1
2-я княжна Тугоуховская,"Undirected",Наталья Дмитриевна,1
2-я княжна Тугоуховская,"Undirected",Репетилов,1
3-я княжна Тугоуховская,"Undirected",4-я княжна Тугоуховская,2
3-я княжна Тугоуховская,"Undirected",5-я княжна Тугоуховская,2
3-я княжна Тугоуховская,"Undirected",6-я княжна Тугоуховская,2
3-я княжна Тугоуховская,"Undirected",Загорецкий,1
3-я княжна Тугоуховская,"Undirected",Княгиня Тугоуховская,2
3-я княжна Тугоуховская,"Undirected",Князь Тугоуховский,1
3-я княжна Тугоуховская,"Undirected",Наталья Дмитриевна,1
3-я княжна Тугоуховская,"Undirected",Репетилов,1
4-я княжна Тугоуховская,"Undirected",5-я княжна Тугоуховская,2
4-я княжна Тугоуховская,"Undirected",6-я княжна Тугоуховская,2
4-я княжна Тугоуховская,"Undirected",Загорецкий,1
4-я княжна Тугоуховская,"Undirected",Княгиня Тугоуховская,2
4-я княжна Тугоуховская,"Undirected",Князь Тугоуховский,1
4-я княжна Тугоуховская,"Undirected",Наталья Дмитриевна,1
4-я княжна Тугоуховская,"Undirected",Репетилов,1
5-я княжна Тугоуховская,"Undirected",6-я княжна Тугоуховская,2
5-я княжна Тугоуховская,"Undirected",Загорецкий,1
5-я княжна Тугоуховская,"Undirected",Княгиня Тугоуховская,2
5-я княжна Тугоуховская,"Undirected",Князь Тугоуховский,1
5-я княжна Тугоуховская,"Undirected",Наталья Дмитриевна,1
5-я княжна Тугоуховская,"Undirected",Репетилов,1
6-я княжна Тугоуховская,"Undirected",Загорецкий,1
6-я княжна Тугоуховская,"Undirected",Княгиня Тугоуховская,2
6-я княжна Тугоуховская,"Undirected",Князь Тугоуховский,1
6-я княжна Тугоуховская,"Undirected",Наталья Дмитриевна,1
6-я княжна Тугоуховская,"Undirected",Репетилов,1
Г.D.,"Undirected",Г.N.,1
Г.D.,"Undirected",Загорецкий,1
Г.N.,"Undirected",София,1
Графиня бабушка Хрюмина,"Undirected",Графиня внучка Хрюмина,2
Графиня бабушка Хрюмина,"Undirected",Загорецкий,1
Графиня бабушка Хрюмина,"Undirected",Князь Тугоуховский,1
Графиня бабушка Хрюмина,"Undirected",Лакей,1
Графиня внучка Хрюмина,"Undirected",Загорецкий,3
Графиня внучка Хрюмина,"Undirected",Княгиня Тугоуховская,2
Графиня внучка Хрюмина,"Undirected",Лакей,1
