Source,Type,Target,Weight
(Народ)Другой,"Undirected",(Народ)Один,1
(Народ)Другой,"Undirected",(Народ)Третий,1
(Народ)Другой,"Undirected",Народ,1
(Народ)Другой,"Undirected",Щелкалов,1
(Народ)Один,"Undirected",(Народ)Третий,1
(Народ)Один,"Undirected",Народ,1
(Народ)Один,"Undirected",Щелкалов,1
(Народ)Третий,"Undirected",Народ,1
(Народ)Третий,"Undirected",Щелкалов,1
(Народ2)Другой,"Undirected",(Народ2)Один,1
(Народ2)Другой,"Undirected",(Народ2)Третий,1
(Народ2)Другой,"Undirected",Баба,1
(Народ2)Другой,"Undirected",Народ,1
(Народ2)Один,"Undirected",(Народ2)Третий,1
(Народ2)Один,"Undirected",Баба,1
(Народ2)Один,"Undirected",Народ,1
(Народ2)Третий,"Undirected",Баба,1
(Народ2)Третий,"Undirected",Народ,1
(Народ3)Другой,"Undirected",(Народ3)Один,1
(Народ3)Другой,"Undirected",(Народ3)Третий,1
(Народ3)Другой,"Undirected",(Народ3)Четвертый,1
(Народ3)Другой,"Undirected",Мальчишки,1
(Народ3)Другой,"Undirected",Старуха,1
(Народ3)Другой,"Undirected",Юродивый,1
(Народ3)Один,"Undirected",(Народ3)Третий,1
(Народ3)Один,"Undirected",(Народ3)Четвертый,1
(Народ3)Один,"Undirected",Мальчишки,1
(Народ3)Один,"Undirected",Старуха,1
(Народ3)Один,"Undirected",Юродивый,1
(Народ3)Третий,"Undirected",(Народ3)Четвертый,1
(Народ3)Третий,"Undirected",Мальчишки,1
(Народ3)Третий,"Undirected",Старуха,1
(Народ3)Третий,"Undirected",Юродивый,1
(Народ3)Четвертый,"Undirected",Мальчишки,1
(Народ3)Четвертый,"Undirected",Старуха,1
(Народ3)Четвертый,"Undirected",Юродивый,1
(Народ4)Другой,"Undirected",(Народ4)Один,1
(Народ4)Другой,"Undirected",(Народ4)Третий,1
(Народ4)Другой,"Undirected",Ксения,1
(Народ4)Другой,"Undirected",Нищий,1
(Народ4)Другой,"Undirected",Стража,1
(Народ4)Другой,"Undirected",Феодор,1
(Народ4)Один,"Undirected",(Народ4)Третий,1
(Народ4)Один,"Undirected",Ксения,1
(Народ4)Один,"Undirected",Нищий,1
(Народ4)Один,"Undirected",Стража,1
(Народ4)Один,"Undirected",Феодор,1
(Народ4)Третий,"Undirected",Ксения,1
(Народ4)Третий,"Undirected",Нищий,1
(Народ4)Третий,"Undirected",Стража,1
(Народ4)Третий,"Undirected",Феодор,1
pater Черниковский,"Undirected",Гаврила Пушкин,1
pater Черниковский,"Undirected",Григорий Отрепьев (Самозванец),1
pater Черниковский,"Undirected",Карела,1
pater Черниковский,"Undirected",Курбский,1
pater Черниковский,"Undirected",Поэт,1
pater Черниковский,"Undirected",Собаньский,1
pater Черниковский,"Undirected",Хрущов,1
Баба,"Undirected",Народ,1
Басманов,"Undirected",Борис (Царь),2
Басманов,"Undirected",Боярин,1
Басманов,"Undirected",Гаврила Пушкин,1
Басманов,"Undirected",Другой придворный служитель,1
Басманов,"Undirected",Один придворный служитель,1
Басманов,"Undirected",Патриарх,1
Басманов,"Undirected",Пятый придворный служитель,1
Басманов,"Undirected",Третий придворный служитель,1
Басманов,"Undirected",Четвертый придворный служитель,1
Басманов,"Undirected",Шестой придворный служитель,1
Басманов,"Undirected",Шуйский,1
Борис (Царь),"Undirected",Бояре,3
Борис (Царь),"Undirected",Боярин,1
Борис (Царь),"Undirected",Ксения,1
Борис (Царь),"Undirected",Мамка,1
Борис (Царь),"Undirected",Патриарх,2
Борис (Царь),"Undirected",Семен Годунов,1
Борис (Царь),"Undirected",Феодор,2
Борис (Царь),"Undirected",Царица,1
Борис (Царь),"Undirected",Шуйский,2
Борис (Царь),"Undirected",Юродивый,1
Бояре,"Undirected",Патриарх,1
Бояре,"Undirected",Феодор,1
Бояре,"Undirected",Царица,1
Бояре,"Undirected",Юродивый,1
Вальтер Розен,"Undirected",Воины,1
Вальтер Розен,"Undirected",Другой беглец,1
Вальтер Розен,"Undirected",Маржерет,1
Вальтер Розен,"Undirected",Немцы,1
Вальтер Розен,"Undirected",Один из беглецов,1
Варлаам,"Undirected",Григорий Отрепьев (Самозванец),1
Варлаам,"Undirected",Другой пристав,1
Варлаам,"Undirected",Мисаил,1
Варлаам,"Undirected",Пристав,1
Варлаам,"Undirected",Хозяйка корчмы,1
Вишневецкий,"Undirected",Мнишек,1
Воины,"Undirected",Другой беглец,1
Воины,"Undirected",Маржерет,1
Воины,"Undirected",Немцы,1
Воины,"Undirected",Один из беглецов,1
Воротынский,"Undirected",Шуйский,2
Второй стольник,"Undirected",Первый стольник,1
Гаврила Пушкин,"Undirected",Григорий Отрепьев (Самозванец),2
Гаврила Пушкин,"Undirected",Карела,1
Гаврила Пушкин,"Undirected",Курбский,1
Гаврила Пушкин,"Undirected",Лях,1
Гаврила Пушкин,"Undirected",Мужик на амвоне,1
Гаврила Пушкин,"Undirected",Народ,1
Гаврила Пушкин,"Undirected",Поэт,1
Гаврила Пушкин,"Undirected",Собаньский,1
Гаврила Пушкин,"Undirected",Хрущов,1
Голицын,"Undirected",Ксения,1
Голицын,"Undirected",Молчанов,1
Голицын,"Undirected",Мосальский,1
Голицын,"Undirected",Феодор,1
Голицын,"Undirected",Царица,1
Голицын,"Undirected",Шерефединов,1
Григорий Отрепьев (Самозванец),"Undirected",Другой лях,1
Григорий Отрепьев (Самозванец),"Undirected",Другой пристав,1
Григорий Отрепьев (Самозванец),"Undirected",Карела,1
Григорий Отрепьев (Самозванец),"Undirected",Курбский,2
Григорий Отрепьев (Самозванец),"Undirected",Лях,2
Григорий Отрепьев (Самозванец),"Undirected",Ляхи,1
Григорий Отрепьев (Самозванец),"Undirected",Марина,2
Григорий Отрепьев (Самозванец),"Undirected",Мисаил,1
Григорий Отрепьев (Самозванец),"Undirected",Пимен,1
Григорий Отрепьев (Самозванец),"Undirected",Поэт,1
Григорий Отрепьев (Самозванец),"Undirected",Пристав,1
Григорий Отрепьев (Самозванец),"Undirected",Рожнов,1
Григорий Отрепьев (Самозванец),"Undirected",Собаньский,1
Григорий Отрепьев (Самозванец),"Undirected",Хозяйка корчмы,1
Григорий Отрепьев (Самозванец),"Undirected",Хрущов,1
Дама,"Undirected",Кавалер,1
Другой беглец,"Undirected",Маржерет,1
Другой беглец,"Undirected",Немцы,1
Другой беглец,"Undirected",Один из беглецов,1
Другой боярин,"Undirected",Один боярин,1
Другой лях,"Undirected",Лях,1
Другой лях,"Undirected",Рожнов,1
Другой придворный служитель,"Undirected",Один придворный служитель,1
Другой придворный служитель,"Undirected",Пятый придворный служитель,1
Другой придворный служитель,"Undirected",Третий придворный служитель,1
Другой придворный служитель,"Undirected",Четвертый придворный служитель,1
Другой придворный служитель,"Undirected",Шестой придворный служитель,1
Другой пристав,"Undirected",Мисаил,1
Другой пристав,"Undirected",Пристав,1
Другой пристав,"Undirected",Хозяйка корчмы,1
Игумен,"Undirected",Патриарх,1
Карела,"Undirected",Курбский,1
Карела,"Undirected",Поэт,1
Карела,"Undirected",Собаньский,1
Карела,"Undirected",Хрущов,1
Ксения,"Undirected",Мамка,1
Ксения,"Undirected",Молчанов,1
Ксения,"Undirected",Мосальский,1
Ксения,"Undirected",Нищий,1
Ксения,"Undirected",Семен Годунов,1
Ксения,"Undirected",Стража,1
Ксения,"Undirected",Феодор,3
Ксения,"Undirected",Царица,1
Ксения,"Undirected",Шерефединов,1
Ксения,"Undirected",Шуйский,1
Курбский,"Undirected",Поэт,1
Курбский,"Undirected",Собаньский,1
Курбский,"Undirected",Хрущов,1
Лях,"Undirected",Рожнов,1
Мальчик,"Undirected",Пушкин,1
Мальчик,"Undirected",Шуйский,1
Мальчишки,"Undirected",Старуха,1
Мальчишки,"Undirected",Юродивый,1
Мамка,"Undirected",Семен Годунов,1
Мамка,"Undirected",Феодор,1
Мамка,"Undirected",Шуйский,1
Маржерет,"Undirected",Немцы,1
Маржерет,"Undirected",Один из беглецов,1
Мисаил,"Undirected",Пристав,1
Мисаил,"Undirected",Хозяйка корчмы,1
Молчанов,"Undirected",Мосальский,1
Молчанов,"Undirected",Феодор,1
Молчанов,"Undirected",Царица,1
Молчанов,"Undirected",Шерефединов,1
Мосальский,"Undirected",Народ,1
Мосальский,"Undirected",Феодор,1
Мосальский,"Undirected",Царица,1
Мосальский,"Undirected",Шерефединов,1
Мужик на амвоне,"Undirected",Народ,1
Народ,"Undirected",Щелкалов,1
Немцы,"Undirected",Один из беглецов,1
Нищий,"Undirected",Стража,1
Нищий,"Undirected",Феодор,1
Один придворный служитель,"Undirected",Пятый придворный служитель,1
Один придворный служитель,"Undirected",Третий придворный служитель,1
Один придворный служитель,"Undirected",Четвертый придворный служитель,1
Один придворный служитель,"Undirected",Шестой придворный служитель,1
Патриарх,"Undirected",Феодор,1
Патриарх,"Undirected",Царица,1
Патриарх,"Undirected",Шуйский,1
Поэт,"Undirected",Собаньский,1
Поэт,"Undirected",Хрущов,1
Пристав,"Undirected",Хозяйка корчмы,1
Пушкин,"Undirected",Шуйский,1
Пятый придворный служитель,"Undirected",Третий придворный служитель,1
Пятый придворный служитель,"Undirected",Четвертый придворный служитель,1
Пятый придворный служитель,"Undirected",Шестой придворный служитель,1
Семен Годунов,"Undirected",Феодор,1
Семен Годунов,"Undirected",Шуйский,1
Собаньский,"Undirected",Хрущов,1
Старуха,"Undirected",Юродивый,1
Стража,"Undirected",Феодор,1
Третий придворный служитель,"Undirected",Четвертый придворный служитель,1
Третий придворный служитель,"Undirected",Шестой придворный служитель,1
Феодор,"Undirected",Царица,2
Феодор,"Undirected",Шерефединов,1
Феодор,"Undirected",Шуйский,1
Царица,"Undirected",Шерефединов,1
Четвертый придворный служитель,"Undirected",Шестой придворный служитель,1
