Source,Type,Target,Weight
Агафья Тихоновна,"Undirected",Анучкин,4
Агафья Тихоновна,"Undirected",Арина Пантелеймоновна,7
Агафья Тихоновна,"Undirected",Дуняшка,4
Агафья Тихоновна,"Undirected",Жевакин,8
Агафья Тихоновна,"Undirected",Кочкарев,10
Агафья Тихоновна,"Undirected",Подколесин,6
Агафья Тихоновна,"Undirected",Стариков,1
Агафья Тихоновна,"Undirected",Фекла,7
Агафья Тихоновна,"Undirected",Яичница,6
Агафья Тихоновна,"Undirected",девчонка,2
Анучкин,"Undirected",Арина Пантелеймоновна,2
Анучкин,"Undirected",Дуняшка,6
Анучкин,"Undirected",Жевакин,7
Анучкин,"Undirected",Кочкарев,6
Анучкин,"Undirected",Подколесин,5
Анучкин,"Undirected",Стариков,2
Анучкин,"Undirected",Фекла,3
Анучкин,"Undirected",Яичница,8
Анучкин,"Undirected",девчонка,5
Арина Пантелеймоновна,"Undirected",Дуняшка,4
Арина Пантелеймоновна,"Undirected",Жевакин,2
Арина Пантелеймоновна,"Undirected",Кочкарев,4
Арина Пантелеймоновна,"Undirected",Подколесин,2
Арина Пантелеймоновна,"Undirected",Стариков,1
Арина Пантелеймоновна,"Undirected",Фекла,6
Арина Пантелеймоновна,"Undirected",Яичница,2
Арина Пантелеймоновна,"Undirected",девчонка,2
Дуняшка,"Undirected",Жевакин,5
Дуняшка,"Undirected",Кочкарев,5
Дуняшка,"Undirected",Подколесин,4
Дуняшка,"Undirected",Стариков,2
Дуняшка,"Undirected",Фекла,5
Дуняшка,"Undirected",Яичница,6
Дуняшка,"Undirected",девчонка,5
Жевакин,"Undirected",Кочкарев,8
Жевакин,"Undirected",Подколесин,5
Жевакин,"Undirected",Стариков,2
Жевакин,"Undirected",Фекла,4
Жевакин,"Undirected",Яичница,8
Жевакин,"Undirected",девчонка,5
Кочкарев,"Undirected",Подколесин,13
Кочкарев,"Undirected",Стариков,2
Кочкарев,"Undirected",Фекла,8
Кочкарев,"Undirected",Яичница,6
Кочкарев,"Undirected",девчонка,4
Подколесин,"Undirected",Стариков,2
Подколесин,"Undirected",Степан,4
Подколесин,"Undirected",Фекла,5
Подколесин,"Undirected",Яичница,5
Подколесин,"Undirected",девчонка,4
Подколесин,"Undirected",извозчик,1
Стариков,"Undirected",Фекла,1
Стариков,"Undirected",Яичница,2
Стариков,"Undirected",девчонка,2
Фекла,"Undirected",Яичница,3
Фекла,"Undirected",девчонка,3
Яичница,"Undirected",девчонка,6
