Source,Type,Target,Weight
Аммос Федорович,"Undirected",Анна Андреевна,3
Аммос Федорович,"Undirected",Артемий Филипович,7
Аммос Федорович,"Undirected",Бобчинский,3
Аммос Федорович,"Undirected",Городничий,6
Аммос Федорович,"Undirected",Гости,1
Аммос Федорович,"Undirected",Гостья,1
Аммос Федорович,"Undirected",Добчинский,3
Аммос Федорович,"Undirected",Жена Коробкина,2
Аммос Федорович,"Undirected",Коробкин,2
Аммос Федорович,"Undirected",Лука Лукич,6
Аммос Федорович,"Undirected",Марья Антоновна,2
Аммос Федорович,"Undirected",Одна из дам,1
Аммос Федорович,"Undirected",Почтмейстер,4
Аммос Федорович,"Undirected",Растаковский,1
Аммос Федорович,"Undirected",Хлестаков,1
Аммос Федорович,"Undirected",Частный пристав,1
Анна Андреевна,"Undirected",Артемий Филипович,5
Анна Андреевна,"Undirected",Бобчинский,4
Анна Андреевна,"Undirected",Городничий,13
Анна Андреевна,"Undirected",Гости,1
Анна Андреевна,"Undirected",Гостья,1
Анна Андреевна,"Undirected",Добчинский,5
Анна Андреевна,"Undirected",Жена Коробкина,3
Анна Андреевна,"Undirected",Квартальный,1
Анна Андреевна,"Undirected",Коробкин,3
Анна Андреевна,"Undirected",Лука Лукич,5
Анна Андреевна,"Undirected",Люлюков,1
Анна Андреевна,"Undirected",Марья Антоновна,19
Анна Андреевна,"Undirected",Мишка,1
Анна Андреевна,"Undirected",Одна из дам,1
Анна Андреевна,"Undirected",Осип,2
Анна Андреевна,"Undirected",Почтмейстер,1
Анна Андреевна,"Undirected",Растаковский,1
Анна Андреевна,"Undirected",Хлестаков,5
Анна Андреевна,"Undirected",Частный пристав,1
Артемий Филипович,"Undirected",Бобчинский,6
Артемий Филипович,"Undirected",Городничий,8
Артемий Филипович,"Undirected",Гости,1
Артемий Филипович,"Undirected",Гостья,1
Артемий Филипович,"Undirected",Добчинский,6
Артемий Филипович,"Undirected",Жена Коробкина,2
Артемий Филипович,"Undirected",Коробкин,2
Артемий Филипович,"Undirected",Лука Лукич,9
Артемий Филипович,"Undirected",Марья Антоновна,4
