Source,Type,Target,Weight
Аграфена Кондратьевна,"Undirected",Большов,9
Аграфена Кондратьевна,"Undirected",Лазарь,1
Аграфена Кондратьевна,"Undirected",Липочка,8
Аграфена Кондратьевна,"Undirected",Олимпиада Самсоновна,2
Аграфена Кондратьевна,"Undirected",Подхалюзин,4
Аграфена Кондратьевна,"Undirected",Рисположенский,5
Аграфена Кондратьевна,"Undirected",Тишка,1
Аграфена Кондратьевна,"Undirected",Устинья Наумовна,11
Аграфена Кондратьевна,"Undirected",Фоминишна,6
Большов,"Undirected",Лазарь,1
Большов,"Undirected",Липочка,3
Большов,"Undirected",Олимпиада Самсоновна,2
Большов,"Undirected",Подхалюзин,7
Большов,"Undirected",Рисположенский,6
Большов,"Undirected",Тишка,2
Большов,"Undirected",Устинья Наумовна,7
Большов,"Undirected",Фоминишна,4
Лазарь,"Undirected",Липочка,1
Лазарь,"Undirected",Рисположенский,1
Лазарь,"Undirected",Устинья Наумовна,1
Лазарь,"Undirected",Фоминишна,1
Липочка,"Undirected",Подхалюзин,2
Липочка,"Undirected",Рисположенский,1
Липочка,"Undirected",Устинья Наумовна,4
Липочка,"Undirected",Фоминишна,5
Олимпиада Самсоновна,"Undirected",Подхалюзин,4
Олимпиада Самсоновна,"Undirected",Рисположенский,1
Олимпиада Самсоновна,"Undirected",Тишка,2
Олимпиада Самсоновна,"Undirected",Устинья Наумовна,3
Подхалюзин,"Undirected",Рисположенский,5
Подхалюзин,"Undirected",Тишка,6
Подхалюзин,"Undirected",Устинья Наумовна,5
Подхалюзин,"Undirected",Фоминишна,1
Рисположенский,"Undirected",Тишка,1
Рисположенский,"Undirected",Устинья Наумовна,5
Рисположенский,"Undirected",Фоминишна,1
Тишка,"Undirected",Устинья Наумовна,1
Тишка,"Undirected",Фоминишна,1
Устинья Наумовна,"Undirected",Фоминишна,3
