Source,Type,Target,Weight
Аграфена Кондратьевна,"Undirected",Большов,8
Аграфена Кондратьевна,"Undirected",Липочка,9
Аграфена Кондратьевна,"Undirected",Олимпиада Самсоновна,1
Аграфена Кондратьевна,"Undirected",Подхалюзин,4
Аграфена Кондратьевна,"Undirected",Рисположенский,5
Аграфена Кондратьевна,"Undirected",Тишка,1
Аграфена Кондратьевна,"Undirected",Устинья  Наумовна,2
Аграфена Кондратьевна,"Undirected",Устинья Наумовна,6
Аграфена Кондратьевна,"Undirected",Фоминишна,3
Большов,"Undirected",Липочка,4
Большов,"Undirected",Олимпиада Самсоновна,1
Большов,"Undirected",Подхалюзин,6
Большов,"Undirected",Рисположенский,5
Большов,"Undirected",Тишка,1
Большов,"Undirected",Устинья  Наумовна,1
Большов,"Undirected",Устинья Наумовна,2
Большов,"Undirected",Фоминишна,1
Липочка,"Undirected",Подхалюзин,2
Липочка,"Undirected",Рисположенский,1
Липочка,"Undirected",Устинья Наумовна,3
Липочка,"Undirected",Фоминишна,3
Олимпиада Самсоновна,"Undirected",Подхалюзин,4
Олимпиада Самсоновна,"Undirected",Тишка,1
Олимпиада Самсоновна,"Undirected",Устинья Наумовна,2
Подхалюзиин,"Undirected",Рисположенский,2
Подхалюзиин,"Undirected",Тишка,1
Подхалюзин,"Undirected",Рисположенский,3
Подхалюзин,"Undirected",Тишка,5
Подхалюзин,"Undirected",Устинья Наумовна,4
Рисположенский,"Undirected",Тишка,2
Рисположенский,"Undirected",Устинья  Наумовна,2
Рисположенский,"Undirected",Устинья Наумовна,1
Тишка,"Undirected",Фоминишна,1
Устинья Наумовна,"Undirected",Фоминишна,2
