Source,Type,Target,Weight
Аким,"Undirected",Акулина,2
Аким,"Undirected",Анисья,8
Аким,"Undirected",Анютка,3
Аким,"Undirected",Кума,1
Аким,"Undirected",Матрёна,4
Аким,"Undirected",Митрич,4
Аким,"Undirected",Никита,9
Аким,"Undirected",Пётр,5
Акулина,"Undirected",Анисья,7
Акулина,"Undirected",Анютка,3
Акулина,"Undirected",Марфа,1
Акулина,"Undirected",Матрёна,1
Акулина,"Undirected",Митрич,2
Акулина,"Undirected",Никита,9
Акулина,"Undirected",Пётр,3
Анисья,"Undirected",Анютка,9
Анисья,"Undirected",Кума,4
Анисья,"Undirected",Матрёна,16
Анисья,"Undirected",Митрич,5
Анисья,"Undirected",Никита,14
Анисья,"Undirected",Пётр,9
Анютка,"Undirected",Кума,1
Анютка,"Undirected",Матрёна,2
Анютка,"Undirected",Митрич,1
Анютка,"Undirected",Никита,5
Анютка,"Undirected",Пётр,4
Кума,"Undirected",Матрёна,2
Кума,"Undirected",Митрич,2
Кума,"Undirected",Соседка,1
Марина,"Undirected",Никита,1
Марфа,"Undirected",Матрёна,1
Матрёна,"Undirected",Никита,12
Матрёна,"Undirected",Пётр,7
Матрёна,"Undirected",Сват,1
Митрич,"Undirected",Никита,4
Никита,"Undirected",Пётр,5
