Source,Type,Target,Weight
1-й врач,"Undirected",2-й врач,1
1-й врач,"Undirected",3-й врач,1
1-й врач,"Undirected",4-й врач,1
1-й врач,"Undirected",5-й врач,1
1-й врач,"Undirected",6-й врач,1
1-й врач,"Undirected",Зоя Березкина,1
1-й врач,"Undirected",Присыпкин-Пьер Скрипкин,1
1-й врач,"Undirected",Профессор,1
1-й мужчина,"Undirected",Восторженный голос,1
1-й мужчина,"Undirected",Голоса,1
1-й мужчина,"Undirected",Девушка 2,1
1-й мужчина,"Undirected",Директор зоологического сада,1
1-й мужчина,"Undirected",Проходящий,1
1-й мужчина,"Undirected",Репортер,1
1-й мужчина,"Undirected",Сидящие,1
1-й пожарный,"Undirected",2-й пожарный,1
1-й пожарный,"Undirected",3-й пожарный,1
1-й пожарный,"Undirected",4-й пожарный,1
1-й пожарный,"Undirected",Горнист,1
1-й пожарный,"Undirected",Начальник,1
1-й служитель,"Undirected",1-й старик,1
1-й служитель,"Undirected",1-я старуха,1
1-й служитель,"Undirected",2-й служитель,1
1-й служитель,"Undirected",2-й старик,1
1-й служитель,"Undirected",2-я старуха,1
1-й служитель,"Undirected",3-й служитель,1
1-й служитель,"Undirected",3-й старик,1
1-й служитель,"Undirected",3-я старуха,1
1-й служитель,"Undirected",4-й служитель,1
1-й служитель,"Undirected",5-й служитель,1
1-й служитель,"Undirected",6-й служитель,1
1-й служитель,"Undirected",Дети,1
1-й служитель,"Undirected",Директор,1
1-й служитель,"Undirected",Председатель,1
1-й служитель,"Undirected",Присыпкин-Пьер Скрипкин,1
1-й служитель,"Undirected",Распорядитель,1
1-й старик,"Undirected",1-я старуха,1
1-й старик,"Undirected",2-й служитель,1
1-й старик,"Undirected",2-й старик,1
1-й старик,"Undirected",2-я старуха,1
1-й старик,"Undirected",3-й служитель,1
1-й старик,"Undirected",3-й старик,1
1-й старик,"Undirected",3-я старуха,1
1-й старик,"Undirected",4-й служитель,1
1-й старик,"Undirected",5-й служитель,1
1-й старик,"Undirected",6-й служитель,1
1-й старик,"Undirected",Дети,1
1-й старик,"Undirected",Директор,1
1-й старик,"Undirected",Председатель,1
1-й старик,"Undirected",Присыпкин-Пьер Скрипкин,1
1-й старик,"Undirected",Распорядитель,1
1-я старуха,"Undirected",2-й служитель,1
1-я старуха,"Undirected",2-й старик,1
1-я старуха,"Undirected",2-я старуха,1
1-я старуха,"Undirected",3-й служитель,1
1-я старуха,"Undirected",3-й старик,1
1-я старуха,"Undirected",3-я старуха,1
1-я старуха,"Undirected",4-й служитель,1
1-я старуха,"Undirected",5-й служитель,1
1-я старуха,"Undirected",6-й служитель,1
1-я старуха,"Undirected",Дети,1
1-я старуха,"Undirected",Директор,1
1-я старуха,"Undirected",Председатель,1
1-я старуха,"Undirected",Присыпкин-Пьер Скрипкин,1
1-я старуха,"Undirected",Распорядитель,1
2-й врач,"Undirected",3-й врач,1
2-й врач,"Undirected",4-й врач,1
2-й врач,"Undirected",5-й врач,1
2-й врач,"Undirected",6-й врач,1
2-й врач,"Undirected",Зоя Березкина,1
2-й врач,"Undirected",Присыпкин-Пьер Скрипкин,1
2-й врач,"Undirected",Профессор,1
2-й пожарный,"Undirected",3-й пожарный,1
2-й пожарный,"Undirected",4-й пожарный,1
2-й пожарный,"Undirected",Горнист,1
2-й пожарный,"Undirected",Начальник,1
2-й служитель,"Undirected",2-й старик,1
2-й служитель,"Undirected",2-я старуха,1
2-й служитель,"Undirected",3-й служитель,1
2-й служитель,"Undirected",3-й старик,1
2-й служитель,"Undirected",3-я старуха,1
2-й служитель,"Undirected",4-й служитель,1
2-й служитель,"Undirected",5-й служитель,1
2-й служитель,"Undirected",6-й служитель,1
2-й служитель,"Undirected",Дети,1
2-й служитель,"Undirected",Директор,1
2-й служитель,"Undirected",Председатель,1
2-й служитель,"Undirected",Присыпкин-Пьер Скрипкин,1
2-й служитель,"Undirected",Распорядитель,1
2-й старик,"Undirected",2-я старуха,1
2-й старик,"Undirected",3-й служитель,1
2-й старик,"Undirected",3-й старик,1
2-й старик,"Undirected",3-я старуха,1
2-й старик,"Undirected",4-й служитель,1
2-й старик,"Undirected",5-й служитель,1
2-й старик,"Undirected",6-й служитель,1
2-й старик,"Undirected",Дети,1
2-й старик,"Undirected",Директор,1
2-й старик,"Undirected",Председатель,1
2-й старик,"Undirected",Присыпкин-Пьер Скрипкин,1
2-й старик,"Undirected",Распорядитель,1
2-я старуха,"Undirected",3-й служитель,1
2-я старуха,"Undirected",3-й старик,1
2-я старуха,"Undirected",3-я старуха,1
2-я старуха,"Undirected",4-й служитель,1
2-я старуха,"Undirected",5-й служитель,1
2-я старуха,"Undirected",6-й служитель,1
2-я старуха,"Undirected",Дети,1
2-я старуха,"Undirected",Директор,1
2-я старуха,"Undirected",Председатель,1
2-я старуха,"Undirected",Присыпкин-Пьер Скрипкин,1
2-я старуха,"Undirected",Распорядитель,1
3-й врач,"Undirected",4-й врач,1
3-й врач,"Undirected",5-й врач,1
3-й врач,"Undirected",6-й врач,1
3-й врач,"Undirected",Зоя Березкина,1
3-й врач,"Undirected",Присыпкин-Пьер Скрипкин,1
3-й врач,"Undirected",Профессор,1
3-й пожарный,"Undirected",4-й пожарный,1
3-й пожарный,"Undirected",Горнист,1
3-й пожарный,"Undirected",Начальник,1
3-й служитель,"Undirected",3-й старик,1
3-й служитель,"Undirected",3-я старуха,1
3-й служитель,"Undirected",4-й служитель,1
3-й служитель,"Undirected",5-й служитель,1
3-й служитель,"Undirected",6-й служитель,1
3-й служитель,"Undirected",Дети,1
3-й служитель,"Undirected",Директор,1
3-й служитель,"Undirected",Председатель,1
3-й служитель,"Undirected",Присыпкин-Пьер Скрипкин,1
3-й служитель,"Undirected",Распорядитель,1
3-й старик,"Undirected",3-я старуха,1
3-й старик,"Undirected",4-й служитель,1
3-й старик,"Undirected",5-й служитель,1
3-й старик,"Undirected",6-й служитель,1
3-й старик,"Undirected",Дети,1
3-й старик,"Undirected",Директор,1
3-й старик,"Undirected",Председатель,1
3-й старик,"Undirected",Присыпкин-Пьер Скрипкин,1
3-й старик,"Undirected",Распорядитель,1
3-я старуха,"Undirected",4-й служитель,1
3-я старуха,"Undirected",5-й служитель,1
3-я старуха,"Undirected",6-й служитель,1
3-я старуха,"Undirected",Дети,1
3-я старуха,"Undirected",Директор,1
3-я старуха,"Undirected",Председатель,1
3-я старуха,"Undirected",Присыпкин-Пьер Скрипкин,1
3-я старуха,"Undirected",Распорядитель,1
4-й врач,"Undirected",5-й врач,1
4-й врач,"Undirected",6-й врач,1
4-й врач,"Undirected",Зоя Березкина,1
4-й врач,"Undirected",Присыпкин-Пьер Скрипкин,1
4-й врач,"Undirected",Профессор,1
4-й пожарный,"Undirected",Горнист,1
4-й пожарный,"Undirected",Начальник,1
4-й служитель,"Undirected",5-й служитель,1
4-й служитель,"Undirected",6-й служитель,1
4-й служитель,"Undirected",Дети,1
4-й служитель,"Undirected",Директор,1
4-й служитель,"Undirected",Председатель,1
4-й служитель,"Undirected",Присыпкин-Пьер Скрипкин,1
4-й служитель,"Undirected",Распорядитель,1
5-й врач,"Undirected",6-й врач,1
5-й врач,"Undirected",Зоя Березкина,1
5-й врач,"Undirected",Присыпкин-Пьер Скрипкин,1
5-й врач,"Undirected",Профессор,1
5-й служитель,"Undirected",6-й служитель,1
5-й служитель,"Undirected",Дети,1
5-й служитель,"Undirected",Директор,1
5-й служитель,"Undirected",Председатель,1
5-й служитель,"Undirected",Присыпкин-Пьер Скрипкин,1
5-й служитель,"Undirected",Распорядитель,1
6-й врач,"Undirected",Зоя Березкина,1
6-й врач,"Undirected",Присыпкин-Пьер Скрипкин,1
6-й врач,"Undirected",Профессор,1
6-й служитель,"Undirected",Дети,1
6-й служитель,"Undirected",Директор,1
6-й служитель,"Undirected",Председатель,1
6-й служитель,"Undirected",Присыпкин-Пьер Скрипкин,1
6-й служитель,"Undirected",Распорядитель,1
Босой Парень,"Undirected",Девушка 1,1
Босой Парень,"Undirected",Изобретатель,1
Босой Парень,"Undirected",Молодой рабочий,1
Босой Парень,"Undirected",Олег Баян,1
Босой Парень,"Undirected",Очкастый,1
Босой Парень,"Undirected",Парень,1
Босой Парень,"Undirected",Парень с книгой,1
Босой Парень,"Undirected",Парень с метлой,1
Босой Парень,"Undirected",Присыпкин-Пьер Скрипкин,1
Босой Парень,"Undirected",Слесарь,1
Босой Парень,"Undirected",Уборщик,1
Восторженный голос,"Undirected",Голоса,1
Восторженный голос,"Undirected",Девушка 2,1
Восторженный голос,"Undirected",Директор зоологического сада,1
Восторженный голос,"Undirected",Проходящий,1
Восторженный голос,"Undirected",Репортер,1
Восторженный голос,"Undirected",Сидящие,1
Врач,"Undirected",Зоя Березкина,1
Врач,"Undirected",Присыпкин-Пьер Скрипкин,1
Врач,"Undirected",Профессор,1
Голоса,"Undirected",Девушка 2,1
Голоса,"Undirected",Директор зоологического сада,1
Голоса,"Undirected",Проходящий,1
Голоса,"Undirected",Репортер,1
Голоса,"Undirected",Сидящие,1
Голоса раструбов,"Undirected",Оратор,1
Голоса раструбов,"Undirected",молодой механик,1
Голоса раструбов,"Undirected",старый механик,1
Горнист,"Undirected",Начальник,1
Гость,"Undirected",Олег Баян,1
Гость,"Undirected",Парикмахер,1
Гость,"Undirected",Посаженная мать,1
Гость,"Undirected",Посаженный отец-бухгалтер,1
Гость,"Undirected",Присыпкин-Пьер Скрипкин,1
Гость,"Undirected",Розалия Павловна,1
Гость,"Undirected",Шафер,1
Гость,"Undirected",Эльзевира,1
Девушка 1,"Undirected",Изобретатель,1
Девушка 1,"Undirected",Молодой рабочий,1
Девушка 1,"Undirected",Олег Баян,1
Девушка 1,"Undirected",Очкастый,1
Девушка 1,"Undirected",Парень,1
Девушка 1,"Undirected",Парень с книгой,1
Девушка 1,"Undirected",Парень с метлой,1
Девушка 1,"Undirected",Присыпкин-Пьер Скрипкин,1
Девушка 1,"Undirected",Слесарь,1
Девушка 1,"Undirected",Уборщик,1
Девушка 2,"Undirected",Директор зоологического сада,1
Девушка 2,"Undirected",Проходящий,1
Девушка 2,"Undirected",Репортер,1
Девушка 2,"Undirected",Сидящие,1
Дети,"Undirected",Директор,1
Дети,"Undirected",Председатель,1
Дети,"Undirected",Присыпкин-Пьер Скрипкин,1
Дети,"Undirected",Распорядитель,1
Директор,"Undirected",Председатель,1
Директор,"Undirected",Присыпкин-Пьер Скрипкин,1
Директор,"Undirected",Распорядитель,1
Директор зоологического сада,"Undirected",Проходящий,1
Директор зоологического сада,"Undirected",Репортер,1
Директор зоологического сада,"Undirected",Сидящие,1
Зоя Березкина,"Undirected",Милиционер,1
Зоя Березкина,"Undirected",Олег Баян,1
Зоя Березкина,"Undirected",Присыпкин-Пьер Скрипкин,3
Зоя Березкина,"Undirected",Профессор,2
Зоя Березкина,"Undirected",Пуговичный разносчик,1
Зоя Березкина,"Undirected",Разносчик селедок,1
Зоя Березкина,"Undirected",Розалия Павловна,1
Изобретатель,"Undirected",Молодой рабочий,1
Изобретатель,"Undirected",Олег Баян,1
Изобретатель,"Undirected",Очкастый,1
Изобретатель,"Undirected",Парень,1
Изобретатель,"Undirected",Парень с книгой,1
Изобретатель,"Undirected",Парень с метлой,1
Изобретатель,"Undirected",Присыпкин-Пьер Скрипкин,1
Изобретатель,"Undirected",Слесарь,1
Изобретатель,"Undirected",Уборщик,1
Милиционер,"Undirected",Олег Баян,1
Милиционер,"Undirected",Присыпкин-Пьер Скрипкин,1
Милиционер,"Undirected",Пуговичный разносчик,1
Милиционер,"Undirected",Разносчик селедок,1
Милиционер,"Undirected",Розалия Павловна,1
Молодой рабочий,"Undirected",Олег Баян,1
Молодой рабочий,"Undirected",Очкастый,1
Молодой рабочий,"Undirected",Парень,1
Молодой рабочий,"Undirected",Парень с книгой,1
